Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
girls_in_the_jacuzzi_day3_16e3b13e		{i}Isabella, who had just finished her massage, rose from the table and walked towards the tub, her movements smooth and almost hypnotic.	game/events_scripts/emma.rpy	42	"[what]"
girls_in_the_jacuzzi_day3_48acead8		{i}I exchanged a glance with Tanya, and I could see the curiosity mirrored in her eyes. Ruby appeared behind us, her voice cutting through the soft sound of water.	game/events_scripts/emma.rpy	44	"[what]"
girls_in_the_jacuzzi_day3_e7d7cd42	r	Come on, girls. Don’t just stand there like statues. Join us.	game/events_scripts/emma.rpy	45	r "[what]"
girls_in_the_jacuzzi_day3_c6a76a61		{i}Ruby, her tone light and almost teasing, encouraged us to relax, stepping forward towards the jacuzzi herself. She was all smiles, her demeanor as casual as if nothing was out of place.	game/events_scripts/emma.rpy	46	"[what]"
girls_in_the_jacuzzi_day3_ca2cfffc		{i}Ruby wasn’t wrong—after the tension of last night, maybe we did deserve a little break.	game/events_scripts/emma.rpy	47	"[what]"
girls_in_the_jacuzzi_day3_5484394c	i	You know, this is just what I needed today... Some relaxation.	game/events_scripts/emma.rpy	48	i "[what]"
girls_in_the_jacuzzi_day3_a544b5da	av	Mmm, I agree. Nothing like a hot soak to melt away the stress.	game/events_scripts/emma.rpy	49	av "[what]"
girls_in_the_jacuzzi_day3_f929f9a6	e__	Really? You’re both acting like the world isn’t upside down right now. Just chilling in a jacuzzi while the rest of us are left picking up the pieces. Seriously?	game/events_scripts/emma.rpy	50	e__ "[what]"
girls_in_the_jacuzzi_day3_98449d51		{i}Tanya and I shared a quick look, our decision made without even having to speak. It was time to join the others.	game/events_scripts/emma.rpy	52	"[what]"
girls_in_the_jacuzzi_day3_91c49c94	t	Well, we can’t let them have all the fun, can we?	game/events_scripts/emma.rpy	53	t "[what]"
girls_in_the_jacuzzi_day3_96c163bb	e	Oh, absolutely not.	game/events_scripts/emma.rpy	54	e "[what]"
girls_in_the_jacuzzi_day3_b72661ea	e	If you’re gonna relax, might as well do it right.	game/events_scripts/emma.rpy	56	e "[what]"
girls_in_the_jacuzzi_day3_34f003b8	t	Now that’s the spirit.	game/events_scripts/emma.rpy	58	t "[what]"
girls_in_the_jacuzzi_day3_106fc5fb		{i}Tanya turned toward me, her eyes glimmering with a newfound boldness as her towel slipped from her body, hitting the floor in a soft thud.	game/events_scripts/emma.rpy	60	"[what]"
girls_in_the_jacuzzi_day3_1cd954ab		{i}She flashed me a cheeky grin, her bare figure illuminated by the soft glow of the lights above.	game/events_scripts/emma.rpy	61	"[what]"
girls_in_the_jacuzzi_day3_34f003b8_1	t	Now that’s the spirit.	game/events_scripts/emma.rpy	62	t "[what]"
girls_in_the_jacuzzi_day3_e4b81236		{i}Instead of heading to the tub, she veered towards the glass-walled shower. My breath caught for a moment, a little surprised that Tanya wasn’t exactly the ‘center of attention’ type.	game/events_scripts/emma.rpy	64	"[what]"
girls_in_the_jacuzzi_day3_bee380a1		{i} But here she was, completely comfortable in her own skin.	game/events_scripts/emma.rpy	65	"[what]"
girls_in_the_jacuzzi_day3_3071514e		{i}She reached the door of the shower and turned around, looking at me over her shoulder with a playful glint in her eye.	game/events_scripts/emma.rpy	67	"[what]"
girls_in_the_jacuzzi_day3_6dce5ec8	t	Are you going to help me wash my back, Emma?	game/events_scripts/emma.rpy	68	t "[what]"
girls_in_the_jacuzzi_day3_1c806548		{i}I blinked, momentarily caught off guard. For a second, I wasn’t sure if she was joking or serious. But she stood there, naked, completely unfazed by the situation.	game/events_scripts/emma.rpy	69	"[what]"
girls_in_the_jacuzzi_day3_e65f08d4	e	Of course, why not?	game/events_scripts/emma.rpy	70	e "[what]"
girls_in_the_jacuzzi_day3_4a86f277	e_	Alright, Emma… showtime. Let’s see if I still got it.	game/events_scripts/emma.rpy	72	e_ "[what]"
girls_in_the_jacuzzi_day3_7e23910f		{i}The warm water immediately cascading down our bodies as the glass door clicked shut behind me.	game/events_scripts/emma.rpy	75	"[what]"
girls_in_the_jacuzzi_day3_aa53f822	t	You always seem so composed, Emma,	game/events_scripts/emma.rpy	83	t "[what]"
girls_in_the_jacuzzi_day3_b24dd469	t	Like nothing ever really phases you.	game/events_scripts/emma.rpy	84	t "[what]"
girls_in_the_jacuzzi_day3_9bbe0b6b	e_	Okay… Is she checking me out? Wait, is this just Tanya being Tanya, or is there more going on here? Whatever… this isn’t the time to overthink.	game/events_scripts/emma.rpy	85	e_ "[what]"
girls_in_the_jacuzzi_day3_c5d23ca8	e	Why the sudden confidence burst, huh?	game/events_scripts/emma.rpy	88	e "[what]"
girls_in_the_jacuzzi_day3_1088482e	e	I don’t remember you being this brave.	game/events_scripts/emma.rpy	89	e "[what]"
girls_in_the_jacuzzi_day3_41093268	t	Maybe I’m learning from the best.	game/events_scripts/emma.rpy	90	t "[what]"
girls_in_the_jacuzzi_day3_b93efb30		{i}Her lips curving into a small smile. I couldn't help but smile back. There was an undeniable ease between us, a flow of connection that felt natural…	game/events_scripts/emma.rpy	91	"[what]"
girls_in_the_jacuzzi_day3_a67d5275		{i}The room was warm, filled with the soft glow of candlelight that danced off the walls, casting shadows over the luxurious setting.	game/events_scripts/emma.rpy	93	"[what]"
ruby_in_the_shower_day2_2b711c55	a_	What am I doing? I shouldn't be spying on her like this. But her naked body... it's hard to resist.	game/events_scripts/ruby.rpy	5	a_ "[what]"
ruby_in_the_shower_day2_a8db231c		{i}As I slowly opened the door, I could see Ruby's beautiful form through the steamy glass.	game/events_scripts/ruby.rpy	6	"[what]"
ruby_in_the_shower_day2_50347402		{i}Her skin was glistening with water droplets, and her hair was piled on top of her head in a messy bun.	game/events_scripts/ruby.rpy	11	"[what]"
ruby_in_the_shower_day2_f7a6a289		{i}My eyes traced the lines of her body, taking in every curve and contour.	game/events_scripts/ruby.rpy	14	"[what]"
ruby_in_the_shower_day2_2c44601d		{i}I couldn't help but imagine what it would be like to touch her, to feel her soft skin under my fingertips.	game/events_scripts/ruby.rpy	17	"[what]"
ruby_in_the_shower_day2_9d287f40	a_	I need to stop this. I shouldn't be thinking like this.	game/events_scripts/ruby.rpy	21	a_ "[what]"
ruby_in_the_shower_day2_b05e1a66		{i}Just as I was about to turn around, I heard Ruby's voice.	game/events_scripts/ruby.rpy	22	"[what]"
ruby_in_the_shower_day2_cbe3530b	r	Mr Alex. What are you doing here?	game/events_scripts/ruby.rpy	24	r "[what]"
ruby_in_the_shower_day2_560e5e4e	a_	Shit, she saw me!	game/events_scripts/ruby.rpy	25	a_ "[what]"
ruby_in_the_shower_day2_b2d23f6e		{i}Panic surged through me, and I reacted on instinct. I pulled the door shut quickly but quietly, my breath coming in shallow gasps	game/events_scripts/ruby.rpy	28	"[what]"
ruby_in_the_shower_day2_bc099aac		{i}My heart sank as I realized I had been caught. Trying to come up with an excuse for my behavior.	game/events_scripts/ruby.rpy	29	"[what]"
ruby_in_the_shower_day2_e42a6d7f		{i}With that, I backed away from the bathroom door and headed back to my room, feeling a mix of embarrassment and relief.	game/events_scripts/ruby.rpy	30	"[what]"
ruby_in_the_shower_day2_4d6f8863		{i}I took a step back, feeling the cold sweat on my brow. Without thinking, I turned and walked away as fast as I could without running, my mind racing. 	game/events_scripts/ruby.rpy	32	"[what]"
ruby_in_the_shower_day2_e16366db	a_	What the hell was I thinking? I need to get a grip. This isn't the time for distractions, especially not ones like that.	game/events_scripts/ruby.rpy	33	a_ "[what]"
ruby_in_the_shower_day2_9a97712b		{i}I knew I had crossed a line, and I needed to be more careful in the future.	game/events_scripts/ruby.rpy	34	"[what]"
ruby_in_the_shower_day2_8c1e0124		{i}But the image of Ruby in the shower was burned into my mind, and I knew it wouldn't leave me easily.	game/events_scripts/ruby.rpy	35	"[what]"
samuel_fucks_ruby_day3_1_f3b98507		{i}The closer I got, the more I could hear the quiet sounds of rustling hay and a faint, rhythmic creaking from within.	game/events_scripts/ruby.rpy	90	"[what]"
samuel_fucks_ruby_day3_1_de238335		{i}My pulse quickened with an uneasy suspicion as I crept up to the door, peering inside.	game/events_scripts/ruby.rpy	92	"[what]"
samuel_fucks_ruby_day3_1_e022d153		{i}The scene I stumbled upon made me stop cold.	game/events_scripts/ruby.rpy	94	"[what]"
samuel_fucks_ruby_day3_1_496633a2		{i}There, right in the middle of the barn, were Ruby and Samuel—entangled in each other, lost in a heated, intimate moment that caught me completely off guard.	game/events_scripts/ruby.rpy	97	"[what]"
samuel_fucks_ruby_day3_1_3975522d		{i}Ruby was standing with her arms resting on a pile of hay, her head thrown back in ecstasy.	game/events_scripts/ruby.rpy	99	"[what]"
samuel_fucks_ruby_day3_1_0b37e151		{i}Samuel was behind her, his strong hands gripping her hips as he thrust into her. The sound of their bodies slapping together filled the barn, along with Ruby's moans of pleasure.	game/events_scripts/ruby.rpy	102	"[what]"
samuel_fucks_ruby_day3_1_e3010281	e_	What the hell did I just walk into? Seriously? Of all the people… Ruby and Samuel? Why here? Why now?	game/events_scripts/ruby.rpy	105	e_ "[what]"
samuel_fucks_ruby_day3_1_e607cef6		{i}I tried to quiet my breathing, suddenly feeling ridiculous for being there, for having seen them.	game/events_scripts/ruby.rpy	106	"[what]"
samuel_fucks_ruby_day3_1_512e8e91		{i}Part of me wanted to laugh at the absurdity of it all, while another part… well, it was complicated.	game/events_scripts/ruby.rpy	108	"[what]"
samuel_fucks_ruby_day3_1_49682f77		{i}Samuel had always been a bit of an enigma, and Ruby, well… she wasn’t exactly who I would have expected him to be with.	game/events_scripts/ruby.rpy	109	"[what]"
samuel_fucks_ruby_day3_1_1ead3173		{i}I knew I shouldn't be here, but the thought of what might be happening inside the barn was too tempting to resist.	game/events_scripts/ruby.rpy	118	"[what]"
samuel_fucks_ruby_day3_1_493ad562		{i}Tonight, I couldn't help but give in to my curiosity. Peeking through the in the door, I could see them clearly.	game/events_scripts/ruby.rpy	120	"[what]"
samuel_fucks_ruby_day3_1_509b2dff	r	Fuck, Samuel,	game/events_scripts/ruby.rpy	123	r "[what]"
samuel_fucks_ruby_day3_1_dfd7f11b		{i}she gasped, her voice echoing in the rustic space.	game/events_scripts/ruby.rpy	126	"[what]"
samuel_fucks_ruby_day3_1_2a8a044c	r	Harder, please.	game/events_scripts/ruby.rpy	127	r "[what]"
samuel_fucks_ruby_day3_1_57121b2a		{i}Samuel obliged, his pace quickening.	game/events_scripts/ruby.rpy	131	"[what]"
samuel_fucks_ruby_day3_1_2ede0d2e	s	You like that, don't you, Ruby? You like feeling my big cock inside you.	game/events_scripts/ruby.rpy	132	s "[what]"
samuel_fucks_ruby_day3_1_acc5579f		{i}Ruby let out a loud moan, her body trembling with each powerful thrust.	game/events_scripts/ruby.rpy	133	"[what]"
samuel_fucks_ruby_day3_1_feec2240	r	Yes, yes, I do,	game/events_scripts/ruby.rpy	134	r "[what]"
samuel_fucks_ruby_day3_1_5362ade2		{i}I watched, my own body reacting to the scene before me.	game/events_scripts/ruby.rpy	138	"[what]"
samuel_fucks_ruby_day3_1_f082febd		{i}My pussy began to throb,	game/events_scripts/ruby.rpy	140	"[what]"
samuel_fucks_ruby_day3_1_d5f71024		{i}and I slid my hand down my jeans, feeling the wetness already building.	game/events_scripts/ruby.rpy	144	"[what]"
samuel_fucks_ruby_day3_1_fb45814c		{i}I rubbed gently, my fingers moving in time with Samuel's thrusts.	game/events_scripts/ruby.rpy	147	"[what]"
samuel_fucks_ruby_day3_1_a54b6100		{i}Suddenly, Samuel grabbed Ruby by the neck, pulling her upright so her back was pressed against his chest.	game/events_scripts/ruby.rpy	160	"[what]"
samuel_fucks_ruby_day3_1_2721af0b	s	Look at me,	game/events_scripts/ruby.rpy	161	s "[what]"
samuel_fucks_ruby_day3_1_50055d28		{i}he commanded, his voice rough with desire. Ruby turned her head, her eyes meeting his as he continued to fuck her, now faster and harder.	game/events_scripts/ruby.rpy	162	"[what]"
samuel_fucks_ruby_day3_1_9601a204	s	Watching you take my cock like this, Ruby, it drives me crazy,	game/events_scripts/ruby.rpy	163	s "[what]"
samuel_fucks_ruby_day3_1_81d8be9a		{i}Ruby's moans grew louder, her body convulsing with each forceful thrust.	game/events_scripts/ruby.rpy	166	"[what]"
samuel_fucks_ruby_day3_1_a9c04f1c		{i}I watched, my breath coming in ragged gasps as I brought myself to orgasm, the sound of their pleasure echoing in my ears.	game/events_scripts/ruby.rpy	168	"[what]"
samuel_fucks_ruby_day3_1_065f99fc	e_	Okay, Emma, pull it together. Just sneak away, and pretend you didn’t see anything. Don’t be that person. But seriously, Ruby?	game/events_scripts/ruby.rpy	177	e_ "[what]"
samuel_fucks_ruby_day3_1_9ed5e847		{i}I peeked around the corner again just to make sure they hadn’t noticed my moment of voyeurism.	game/events_scripts/ruby.rpy	179	"[what]"
samuel_fucks_ruby_day3_1_12bd7fd0	e_	How long have they been sneaking around like this? And in the barn? Come on. Get a room at least.	game/events_scripts/ruby.rpy	181	e_ "[what]"
samuel_fucks_ruby_day3_1_a62fd8b3		{i}I shook my head to myself, then carefully backed away from the barn’s entrance, trying not to make any noise.	game/events_scripts/ruby.rpy	183	"[what]"
samuel_fucks_ruby_day3_1_7877cb04		{i}The last thing I needed was for them to catch me here, lurking like some kind of creep. I quickly slipped behind the doorway, hidden in the shadows again.	game/events_scripts/ruby.rpy	184	"[what]"
samuel_fucks_ruby_day3_1_7a11cf05	e_	Still… now I know. And maybe I wish I didn’t.	game/events_scripts/ruby.rpy	186	e_ "[what]"
samuel_fucks_ruby_day3_1_267cc25d		{i}My brain was still buzzing with the implications of what I had seen, though I kept telling myself it was none of my business.	game/events_scripts/ruby.rpy	187	"[what]"
label_samuelfucksruby_1_21cf7495	s	You're so beautiful, Ruby	game/events_scripts/ruby.rpy	193	s "[what]"
label_samuelfucksruby_1_8176a10b	r	You feel so good,	game/events_scripts/ruby.rpy	194	r "[what]"
label_samuelfucksruby_1_d8036b0e	s	You’re taking it so well, Ruby… thought you’d be begging me to slow down by now.	game/events_scripts/ruby.rpy	195	s "[what]"
label_samuelfucksruby_1_c287ff3c	r	You wish… I can take everything you've got.	game/events_scripts/ruby.rpy	196	r "[what]"
label_samuelfucksruby_1_8d76ccd9	s	Let’s see how long you last.	game/events_scripts/ruby.rpy	197	s "[what]"
label_samuelfucksruby_2_86472f6e	r	Samuel… fuck… don't stop…	game/events_scripts/ruby.rpy	204	r "[what]"
label_samuelfucksruby_2_5f6e01a9	s	You think I’m stopping now? No chance…	game/events_scripts/ruby.rpy	205	s "[what]"
label_samuelfucksruby_2_d0e3f632	r	Harder… I want more…	game/events_scripts/ruby.rpy	206	r "[what]"
label_samuelfucksruby_2_ea484460	s	Greedy, aren't you?	game/events_scripts/ruby.rpy	207	s "[what]"
label_samuelfucksruby_2_5aeb9fb5	s	This what you wanted?	game/events_scripts/ruby.rpy	208	s "[what]"
label_samuelfucksruby_2_3e3c914b	r	Yes… yes, fuck… just like that…	game/events_scripts/ruby.rpy	209	r "[what]"
